item_id,name,ordered_qty,archived_qty,restocked_by_script,missing_after_restock
83,"Vaneripöydät F-info",10,0,0,10
15,"Valkoiset muovipöydät",50,0,0,50
37,"PROVO NOSTE PRO - hiiri",8,0,0,8
122,"Patja",2,0,0,2
114,"Cisco/Tandberg TTC8-02 robotti kamera",1,0,0,1
90,"Jääkaappipakastin",2,0,0,2
9,"Valaistus",30,0,0,30
61,"Spottivalot",7,0,0,7
34,"Vaneripöydät C",56,0,0,56
117,"Jatkojohto 5m 6-plugia",8,0,0,8
41,"Medialäppäri",16,0,0,16
85,"Säkkituoli",4,0,0,4
57,"Standipaketti 6x4m",1,0,0,1
104,"Vesiastia",2,0,0,2
25,"Vaneripöydät E",88,0,0,88
93,"Mikro",4,0,0,4
44,"Tv pöytäjalat",12,0,0,12
105,"Pieni jääkaappi",1,0,0,1
87,"Lasi-ikkunallinen arkkupakastin",1,0,0,1
86,"Lasiovinen jääkaappi",1,0,0,1
39,"Tehokone",15,0,0,15
8,"10G LR -verkko",1,0,0,1
118,"Pienempi valkokangas",1,0,0,1
16,"TV virtakaapeli ja hdmi kaapeli",37,0,0,37
91,"Juomalaari",1,0,0,1
109,"Jatkojohto 1.5m 3-plugia",23,0,0,23
84,"Sohva",5,0,0,5
38,"PROVO KAJO OPTO - Näppäimistö",8,0,0,8
112,"Ikea tvärhand pöytälamppu",20,0,0,20
46,"Kuluttaja-tv",10,0,0,10
32,"PROVO KUMU PRO - 7.1 tilaäänipelikuuloke",8,0,0,8
121,"Sohvapöytä",1,0,0,1
102,"Valkoinen jääkaappi",3,0,0,3
31,"PROVO Matto - Hiirimatto",13,0,0,13
60,"Sähköt Muu",7,0,0,7
107,"Iso kaapelisuoja",1,0,0,1
92,"Metallinen jääkaappi",2,0,0,2
12,"1G Base-T -verkko",279,0,0,279
27,"Pelinäyttö",22,0,0,22
21,"Toimistotuolit",43,0,0,43
80,"Arkkupakastin",1,0,0,1
110,"Jatkojohto 5m 3-plugia",12,0,0,12
63,"Vaneripöydät H",14,0,0,14
64,"Sähköt 230V",6,0,0,6
100,"Vaneripöydät Gk",23,0,0,23
28,"Ikeapöydät",1,0,0,1
55,"Vaneripöydät G",120,0,0,120
81,"Kiertoilmauuni",1,0,0,1
17,"info-tv",27,0,0,27
40,"Sähköt 3x32A 400V 15000W",6,0,0,6
115,"Jatkojohto 1.5m 6-plugia",12,0,0,12
42,"Tv lattiajalat",17,0,0,17
11,"Verkkokaapeli",112,0,0,112
50,"Vaneripöydät B",51,0,0,51
101,"Mellakka-aita",17,0,0,17
18,"Toimistohiiri",6,0,0,6
51,"Esperanza EG102 - peliohjain",1,0,0,1
48,"Sähköt 3x16A 400V 9000W",13,0,0,13
7,"Ständialueen matotus per neliömetri",73,0,0,73
116,"Jatkojohto 5m 4-plugia",1,0,0,1
113,"iFFALCON 55"" U65 4K LED TV",8,0,0,8
47,"TV Trussi-kiinnitys",5,0,0,5
13,"Tuoli",736,0,0,736
56,"Standipaketti 4x4m",4,0,0,4
52,"Sähköt 1x16A 230V 3000W",12,0,0,12
