name,total_stock,category,sku,short_description,long_description,image_url,available_stock
Ständialueen matotus per neliömetri,9936,standipaketit,1,,,,9936
verkko-10G LR,1000,verkko,2,,,,1000
Valaistus,992,valot,3,,,,992
verkko-10G SR,970,verkko,4,,,,970
Verkkokaapeli,952,verkko,5,,,,952
verkko-1G Base-T,917,verkko,6,,,,917
Tuoli,617,tuolit,7,Sininen muovituoli,Oulunhallin omat siniset muovituolit,,617
RGB lediputki 201cm pyöreä,188,valot,8,,,,188
Valkoiset muovipöydät,184,pöydät,9,180cm*74cm muovipöytä,,,184
TV virtakaapeli ja hdmi kaapeli,71,tv,10,,,,71
info-tv,61,tv,11,,,,61
Toimistohiiri,48,oheislaitteet,12,,,,48
Toimisto näppäimistö,47,oheislaitteet,13,,,,47
360 led-360 led-kaksipäinen-100,43,valot,14,,,,43
Toimistotuolit,40,tuolit,15,,,,40
360 led-360 led-yksipäinen-100,40,valot,16,,,,40
360 led-360 led-kaksipäinen-50,39,valot,17,,,,39
Yleisnäyttö,37,koneet,18,,,,37
Vaneripöydät E,32,pöydät,19,272cm*60cm,,,32
RGB wash pixel ohjattu,30,valot,20,,,,30
Pelinäyttö,29,koneet,21,,,,29
Ikeapöydät,28,pöydät,22,vain hätätapauksessa,,,28
RGB lediputki 201cm litteä,26,valot,23,,,,26
360 led-360 led-kaksipäinen-250,26,valot,24,,,,26
PROVO Matto - Hiirimatto,25,oheislaitteet,25,,,,25
"PROVO KUMU PRO - 7.1 tilaäänipelikuuloke",24,oheislaitteet,26,,,,24
Trussit 3m trussi,24,trussit,27,,,,24
Vaneripöydät C,23,pöydät,28,257cm*60cm,,,23
360 led-360 led-yksipäinen-150,23,valot,29,,,,23
2D kulma L,23,trussit,30,,,,23
PROVO NOSTE PRO - hiiri,20,oheislaitteet,31,,,,20
"PROVO KAJO OPTO - Näppäimistö",20,oheislaitteet,32,,,,20
Tehokone,19,koneet,33,,,,19
Sähköt 3x32A 400V 15000W,19,sähköt,34,,,,19
Medialäppäri,18,koneet,35,,,,18
Tv lattiajalat,17,tv,36,,,,17
Vaneripöydät D,16,pöydät,37,267cm*60cm,,,16
"Tv pöytäjalat",16,tv,38,,,,16
Trussit 2m trussi,16,trussit,39,,,,16
Kuluttaja-tv,12,tv,40,,,,12
TV Trussi-kiinnitys,12,tv,41,,,,12
"Sähköt 3x16A 400V 9000W",12,sähköt,42,,,,12
Trussit 4m trussi,12,trussit,43,,,,12
Vaneripöydät B,10,pöydät,44,250cm*60cm,,,10
Esperanza EG102,10,oheislaitteet,45,,,,10
Sähköt 1x16A 230V 3000W,10,sähköt,46,,,,10
Standipaketti 6x8m,10,standipaketit,47,,,,10
Loossi,10,standipaketit,48,,,,10
Vaneripöydät G,9,pöydät,49,248cm*75cm,,,9
Standipaketti 4x4m,9,standipaketit,50,,,,9
Standipaketti 6x4m,8,standipaketit,51,,,,8
"Päätylaatta (alutruss)",8,trussit,52,,,,8
Trussit 1m trussi,8,trussit,53,,,,8
Sähköt Muu,7,sähköt,54,,,,7
Spottivalot,7,valot,55,,,,7
"Trussit 2,5m trussi",7,trussit,56,,,,7
Vaneripöydät H,6,pöydät,57,248cm*75cm,,,6
Sähköt 230V,6,sähköt,58,,,,6
Pelikone,5,koneet,59,,,,5
Induktioliesi,5,kodinkoneet,60,,,,5
Päätylaatta 60x60cm rauta (musta) (globaltrus),4,trussit,61,,,,4
Päätylaatta 60x60cm alumiini (bt-truss),4,trussit,62,,,,4
"Trussit 0,5m trussi",4,trussit,63,,,,4
"Trussit 4,5m trussi",4,trussit,64,,,,4
4D risteys,4,trussit,65,,,,4
Standi paketti Custom,3,standipaketit,66,,,,3
Päätylaatta (milos),3,trussit,67,,,,3
t-pala,3,trussit,68,,,,3
Taittojalka,2,muut,69,,,,2
Päätylaatta (eurotruss),2,trussit,70,,,,2
Päätylaatta (globaltruss/omavalmiste),2,trussit,71,,,,2
"Trussit 3,5m trussi",2,trussit,72,,,,2
Trussit 5m trussi,2,trussit,73,,,,2
Arkkupakastin,1,kodinkoneet,74,,,,1
Kiertoilmauuni,1,kodinkoneet,75,,,,1
3D kulma,1,trussit,76,,,,1
Vaneripöydät F-info,0,pöydät,77,193cm*60cm,Vain infon käytössä olevat pöydät. Etureunassa kaiteelle reiät,,0
Sohva,0,tuolit,78,,,,0
Säkkituoli,0,tuolit,79,Musta säkkituoli,,,0
Lasiovinen jääkaappi,0,kodinkoneet,80,,,,0
Lasi-ikkunallinen arkkupakastin,0,kodinkoneet,81,,,,0
Pullonkeräys tynnyrit,0,muut,82,,,,0
Jenkkikaappi,0,kodinkoneet,83,,,,0
Jääkaappipakastin,0,kodinkoneet,84,,,,0
Kylmälaari,0,kodinkoneet,85,,,,0
Metallinen jääkaappi/pakastin,0,kodinkoneet,86,,,,0
Mikro,0,kodinkoneet,87,,,,0
360 led-360 led-yksipäinen-50,0,valot,88,,,,0
360 led-360 led-kaksipäinen-150,0,valot,89,,,,0
360 led-360 led-yksipäinen-250,0,valot,90,,,,0
trussi paketti,0,trussit,91,,,,0
"Trussit 1,5m trussi",0,trussit,92,,,,0
Valkokangas,0,muut,93,,,,0
